lexemeCurrentNode        lineno   tokenName                valueIfNumber    parentNodeSymbol         isLeaf   NodeSymbol              
~~~~                     50       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
b5                       50       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     50       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     50       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     50       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
b2c3                     50       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     50       ~~~~                     ~~~~             VAR                      no       SINGLE_OR_REC_ID        
~~~~                     50       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     50       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     50       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
*                        50       TK_MUL                   ~~~~             HIGH_PRECEDENCE_OPERATORS yes      TK_MUL                  
~~~~                     50       ~~~~                     ~~~~             TERM_PRIME               no       HIGH_PRECEDENCE_OPERATORS
~~~~                     50       ~~~~                     ~~~~             TERM                     no       TERM_PRIME              
2                        50       TK_NUM                   2                VAR                      yes      TK_NUM                  
~~~~                     50       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     50       ~~~~                     ~~~~             TERM_PRIME               no       FACTOR                  
~~~~                     50       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       ARITHMETIC_EXPRESSION   
;                        50       TK_SEM                   ~~~~             ASSIGNMENT_STMT          yes      TK_SEM                  
~~~~                     50       ~~~~                     ~~~~             OTHER_STMTS              no       STMT                    
~~~~                     51       ~~~~                     ~~~~             OTHER_STMTS              no       OTHER_STMTS             
d2                       51       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     51       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
~~~~                     51       ~~~~                     ~~~~             STMT                     no       ASSIGNMENT_STMT         
<---                     51       TK_ASSIGNOP              ~~~~             ASSIGNMENT_STMT          yes      TK_ASSIGNOP             
d3cd                     51       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     51       ~~~~                     ~~~~             VAR                      no       SINGLE_OR_REC_ID        
~~~~                     51       ~~~~                     ~~~~             FACTOR                   no       VAR                     
~~~~                     51       ~~~~                     ~~~~             TERM                     no       FACTOR                  
~~~~                     51       ~~~~                     ~~~~             ARITHMETIC_EXPRESSION    no       TERM                    
/                        51       TK_DIV                   ~~~~             HIGH_PRECEDENCE_OPERATORS yes      TK_DIV                  
~~~~                     51       ~~~~                     ~~~~             TERM_PRIME               no       HIGH_PRECEDENCE_OPERATORS
~~~~                     51       ~~~~                     ~~~~             TERM                     no       TERM_PRIME              
